method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
learn_multipicity_pivotal,Set2,10,100,200,200,1,0.00571528899945406,0.0
learn_multipicity_pivotal,Set2,10,500,200,200,1,0.012984477999452793,0.0
learn_multipicity_pivotal,Set2,10,1000,200,200,1,0.02181160500003898,0.0
learn_multipicity_pivotal,Set3,"(-0.05, 0.85)",50,200,200,1,0.00416810099977738,0.0
learn_multipicity_pivotal,Set3,"(-0.05, 0.85)",100,200,200,1,0.00585113499982981,0.0
learn_multipicity_pivotal,Set3,"(-0.05, 0.85)",500,200,200,1,0.013130012000146962,0.0
learn_multipicity_pivotal,Set3,"(-0.05, 0.85)",1000,200,200,1,0.023358493000159797,0.0
learn_multipicity_pivotal,Set3,"(0.0, 1.1)",50,200,200,1,0.0045654400000785245,0.0
learn_multipicity_pivotal,Set3,"(0.0, 1.1)",100,200,200,1,0.005491326000083063,0.0
learn_multipicity_pivotal,Set3,"(0.0, 1.1)",500,200,200,1,0.012991411000257358,0.0
learn_multipicity_pivotal,Set3,"(0.0, 1.1)",1000,200,200,1,0.023325329999352107,0.0
learn_multipicity_pivotal,Set3,"(0.05, 1.05)",50,200,200,1,0.004531877000772511,0.0
learn_multipicity_pivotal,Set3,"(0.05, 1.05)",100,200,200,1,0.005126417999235855,0.0
learn_multipicity_pivotal,Set3,"(0.05, 1.05)",500,200,200,1,0.013533363000533427,0.0
learn_multipicity_pivotal,Set3,"(0.05, 1.05)",1000,200,200,1,0.023366237000118417,0.0
mmd_oracle,Set1,"(0.05, 0.5)",50,200,200,1,0.05468173699955514,0.0
mmd_oracle,Set1,"(0.05, 0.5)",100,200,200,1,0.05770348600071884,0.0
mmd_oracle,Set1,"(0.05, 0.5)",500,200,200,1,0.12494670300020516,0.0
mmd_oracle,Set1,"(0.05, 0.5)",1000,200,200,1,0.21082215999922482,0.0
mmd_oracle,Set1,"(0.1, 1.3)",50,200,200,1,0.05144907000067178,0.0
mmd_oracle,Set1,"(0.1, 1.3)",100,200,200,1,0.0569410579992109,0.0
mmd_oracle,Set1,"(0.1, 1.3)",500,200,200,1,0.1270850459995927,0.0
mmd_oracle,Set1,"(0.1, 1.3)",1000,200,200,1,0.20116194100046414,0.0
mmd_oracle,Set1,"(-0.05, 0.6)",50,200,200,1,0.06308237000030203,0.0
mmd_oracle,Set1,"(-0.05, 0.6)",100,200,200,1,0.05797600000005332,0.0
mmd_oracle,Set1,"(-0.05, 0.6)",500,200,200,1,0.12199272200086853,0.0
mmd_oracle,Set1,"(-0.05, 0.6)",1000,200,200,1,0.2067820700003722,0.0
mmd_oracle,Set2,3,50,200,200,1,0.05270537999967928,0.0
mmd_oracle,Set2,3,100,200,200,1,0.07097378199978266,0.0
mmd_oracle,Set2,3,500,200,200,1,0.13349744900006044,0.0
mmd_oracle,Set2,3,1000,200,200,1,0.20507215599991468,0.0
mmd_oracle,Set2,5,50,200,200,1,0.05414371200004098,0.0
mmd_oracle,Set2,5,100,200,200,1,0.05675397499999235,0.0
mmd_oracle,Set2,5,500,200,200,1,0.12534081700050592,0.0
mmd_oracle,Set2,5,1000,200,200,1,0.195794518999719,0.0
mmd_oracle,Set2,10,50,200,200,1,0.06130365599983634,0.0
mmd_oracle,Set2,10,100,200,200,1,0.05846807800025999,0.0
mmd_oracle,Set2,10,500,200,200,1,0.12037404900002002,0.0
mmd_oracle,Set2,10,1000,200,200,1,0.20578338700033783,0.0
mmd_oracle,Set3,"(-0.05, 0.85)",50,200,200,1,0.06370357200012222,0.0
mmd_oracle,Set3,"(-0.05, 0.85)",100,200,200,1,0.05854730699957145,0.0
mmd_oracle,Set3,"(-0.05, 0.85)",500,200,200,1,0.12436053800047375,0.0
mmd_oracle,Set3,"(-0.05, 0.85)",1000,200,200,1,0.20580686099947343,0.0
mmd_oracle,Set3,"(0.0, 1.1)",50,200,200,1,0.062182422999285336,0.0
mmd_oracle,Set3,"(0.0, 1.1)",100,200,200,1,0.06952283599912334,0.0
mmd_oracle,Set3,"(0.0, 1.1)",500,200,200,1,0.12679388700053096,0.0
