method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
MMDFUSE,Set3,"(0.0, 1.1)",1000,100,100,1,0.32753320000028907,0.0
MMDFUSE,Set3,"(0.05, 1.05)",50,100,100,1,0.31111034900004597,0.0
MMDFUSE,Set3,"(0.05, 1.05)",100,100,100,1,0.31101011899954756,0.0
MMDFUSE,Set3,"(0.05, 1.05)",500,100,100,1,0.31837552900015,0.0
MMDFUSE,Set3,"(0.05, 1.05)",1000,100,100,1,0.3280539529996531,0.0
MMDAgg,Set1,"(0.05, 0.5)",50,100,100,1,0.2112317820001408,0.0
MMDAgg,Set1,"(0.05, 0.5)",100,100,100,1,0.21173671499946067,0.0
MMDAgg,Set1,"(0.05, 0.5)",500,100,100,1,0.2192553240001871,0.0
MMDAgg,Set1,"(0.05, 0.5)",1000,100,100,1,0.22936125399974117,0.0
MMDAgg,Set1,"(0.1, 1.3)",50,100,100,1,0.21044203299970832,0.0
MMDAgg,Set1,"(0.1, 1.3)",100,100,100,1,0.21155872800045472,0.0
MMDAgg,Set1,"(0.1, 1.3)",500,100,100,1,0.21864624599948002,0.0
MMDAgg,Set1,"(0.1, 1.3)",1000,100,100,1,0.22844964399973833,0.0
MMDAgg,Set1,"(-0.05, 0.6)",50,100,100,1,0.2102640169996448,0.0
MMDAgg,Set1,"(-0.05, 0.6)",100,100,100,1,0.21167608999985532,0.0
MMDAgg,Set1,"(-0.05, 0.6)",500,100,100,1,0.21901855699979933,0.0
MMDAgg,Set1,"(-0.05, 0.6)",1000,100,100,1,0.22890336000000389,0.0
MMDAgg,Set2,3,50,100,100,1,0.2105554760000814,0.0
MMDAgg,Set2,3,100,100,100,1,0.21187124799962476,0.0
MMDAgg,Set2,3,500,100,100,1,0.21855047500048386,0.0
MMDAgg,Set2,3,1000,100,100,1,0.22886520799966092,0.0
MMDAgg,Set2,5,50,100,100,1,0.21059800700004416,0.0
MMDAgg,Set2,5,100,100,100,1,0.21205634699981601,0.0
MMDAgg,Set2,5,500,100,100,1,0.2191226140002982,0.0
MMDAgg,Set2,5,1000,100,100,1,0.2289325049996478,0.0
MMDAgg,Set2,10,50,100,100,1,0.21109284999965894,0.0
MMDAgg,Set2,10,100,100,100,1,0.21200900799976807,0.0
MMDAgg,Set2,10,500,100,100,1,0.2193071620004048,0.0
MMDAgg,Set2,10,1000,100,100,1,0.22890538400042715,0.0
MMDAgg,Set3,"(-0.05, 0.85)",50,100,100,1,0.211007418999543,0.0
MMDAgg,Set3,"(-0.05, 0.85)",100,100,100,1,0.21170266999979503,0.0
MMDAgg,Set3,"(-0.05, 0.85)",500,100,100,1,0.2199870539998301,0.0
MMDAgg,Set3,"(-0.05, 0.85)",1000,100,100,1,0.23115209100069478,0.0
MMDAgg,Set3,"(0.0, 1.1)",50,100,100,1,0.2112706050002089,0.0
MMDAgg,Set3,"(0.0, 1.1)",100,100,100,1,0.21204466499966657,0.0
MMDAgg,Set3,"(0.0, 1.1)",500,100,100,1,0.21982151199972577,0.0
MMDAgg,Set3,"(0.0, 1.1)",1000,100,100,1,0.2315296529995976,0.0
MMDAgg,Set3,"(0.05, 1.05)",50,100,100,1,0.21136629600005108,0.0
MMDAgg,Set3,"(0.05, 1.05)",100,100,100,1,0.21174949900068896,0.0
MMDAgg,Set3,"(0.05, 1.05)",500,100,100,1,0.21959709900056623,0.0
MMDAgg,Set3,"(0.05, 1.05)",1000,100,100,1,0.23175917599928653,0.0
MMDAggInc,Set1,"(0.05, 0.5)",50,100,100,1,0.020637481000449043,0.0
MMDAggInc,Set1,"(0.05, 0.5)",100,100,100,1,0.024364791000152763,0.0
MMDAggInc,Set1,"(0.05, 0.5)",500,100,100,1,0.04652452299978904,0.0
MMDAggInc,Set1,"(0.05, 0.5)",1000,100,100,1,0.0718176249993121,0.0
MMDAggInc,Set1,"(0.1, 1.3)",50,100,100,1,0.019743285000004107,0.0
MMDAggInc,Set1,"(0.1, 1.3)",100,100,100,1,0.020718013000077917,0.0
MMDAggInc,Set1,"(0.1, 1.3)",500,100,100,1,0.03761013100029231,0.0
MMDAggInc,Set1,"(0.1, 1.3)",1000,100,100,1,0.07108685600087483,0.0
MMDAggInc,Set1,"(-0.05, 0.6)",50,100,100,1,0.019663174000015715,0.0
MMDAggInc,Set1,"(-0.05, 0.6)",100,100,100,1,0.02080846399985603,0.0
MMDAggInc,Set1,"(-0.05, 0.6)",500,100,100,1,0.03794172600009915,0.0
MMDAggInc,Set1,"(-0.05, 0.6)",1000,100,100,1,0.07145029099956446,0.0
MMDAggInc,Set2,3,50,100,100,1,0.019802936999440135,0.0
MMDAggInc,Set2,3,100,100,100,1,0.020559464000143635,0.0
MMDAggInc,Set2,3,500,100,100,1,0.03706013400005759,0.0
MMDAggInc,Set2,3,1000,100,100,1,0.07092379900041124,0.0
MMDAggInc,Set2,5,50,100,100,1,0.01956932700068137,0.0
MMDAggInc,Set2,5,100,100,100,1,0.02066006400036713,0.0
MMDAggInc,Set2,5,500,100,100,1,0.03669414400064852,0.0
MMDAggInc,Set2,5,1000,100,100,1,0.07138550900072005,0.0
MMDAggInc,Set2,10,50,100,100,1,0.01974095999958081,0.0
MMDAggInc,Set2,10,100,100,100,1,0.020888223999463662,0.0
MMDAggInc,Set2,10,500,100,100,1,0.03670890099965618,0.0
MMDAggInc,Set2,10,1000,100,100,1,0.07055830900026194,0.0
MMDAggInc,Set3,"(-0.05, 0.85)",50,100,100,1,0.019282586000372248,0.0
MMDAggInc,Set3,"(-0.05, 0.85)",100,100,100,1,0.020422365999365866,0.0
MMDAggInc,Set3,"(-0.05, 0.85)",500,100,100,1,0.036428100999728485,0.0
MMDAggInc,Set3,"(-0.05, 0.85)",1000,100,100,1,0.07123634800063883,0.0
MMDAggInc,Set3,"(0.0, 1.1)",50,100,100,1,0.019172026999513037,0.0
MMDAggInc,Set3,"(0.0, 1.1)",100,100,100,1,0.02040664600008313,0.0
MMDAggInc,Set3,"(0.0, 1.1)",500,100,100,1,0.03696737799964467,0.0
MMDAggInc,Set3,"(0.0, 1.1)",1000,100,100,1,0.07190099199942779,0.0
MMDAggInc,Set3,"(0.05, 1.05)",50,100,100,1,0.019612778000009712,0.0
MMDAggInc,Set3,"(0.05, 1.05)",100,100,100,1,0.02039622599932045,0.0
MMDAggInc,Set3,"(0.05, 1.05)",500,100,100,1,0.036840520000623656,0.0
MMDAggInc,Set3,"(0.05, 1.05)",1000,100,100,1,0.07149675900018337,0.0
spectrum_mmd,Set1,"(0.05, 0.5)",50,100,100,1,0.00921835499957524,0.0
spectrum_mmd,Set1,"(0.05, 0.5)",100,100,100,1,0.009597700999620429,0.0
spectrum_mmd,Set1,"(0.05, 0.5)",500,100,100,1,0.013204072999542404,0.0
spectrum_mmd,Set1,"(0.05, 0.5)",1000,100,100,1,0.01735614299923327,0.0
spectrum_mmd,Set1,"(0.1, 1.3)",50,100,100,1,0.008903091000320273,0.0
spectrum_mmd,Set1,"(0.1, 1.3)",100,100,100,1,0.009379479000017454,0.0
spectrum_mmd,Set1,"(0.1, 1.3)",500,100,100,1,0.012930276000588492,0.0
spectrum_mmd,Set1,"(0.1, 1.3)",1000,100,100,1,0.017261314000279526,0.0
spectrum_mmd,Set1,"(-0.05, 0.6)",50,100,100,1,0.008801177999885113,0.0
spectrum_mmd,Set1,"(-0.05, 0.6)",100,100,100,1,0.009417159999429714,0.0
spectrum_mmd,Set1,"(-0.05, 0.6)",500,100,100,1,0.012886042999525671,0.0
spectrum_mmd,Set1,"(-0.05, 0.6)",1000,100,100,1,0.017361614000037662,0.0
spectrum_mmd,Set2,3,50,100,100,1,0.008854448999954911,0.0
spectrum_mmd,Set2,3,100,100,100,1,0.00927931099977286,0.0
spectrum_mmd,Set2,3,500,100,100,1,0.01268627599984029,0.0
spectrum_mmd,Set2,3,1000,100,100,1,0.017266092999307148,0.0
spectrum_mmd,Set2,5,50,100,100,1,0.008753016999435204,0.0
spectrum_mmd,Set2,5,100,100,100,1,0.009349522999400506,0.0
spectrum_mmd,Set2,5,500,100,100,1,0.012991180000426539,0.0
spectrum_mmd,Set2,5,1000,100,100,1,0.017258830000173475,0.0
spectrum_mmd,Set2,10,50,100,100,1,0.0088028319996738,0.0
spectrum_mmd,Set2,10,100,100,100,1,0.009259301999918534,0.0
spectrum_mmd,Set2,10,500,100,100,1,0.01281538900002488,0.0
spectrum_mmd,Set2,10,1000,100,100,1,0.017386940999131184,0.0
spectrum_mmd,Set3,"(-0.05, 0.85)",50,100,100,1,0.008798013000159699,0.0
spectrum_mmd,Set3,"(-0.05, 0.85)",100,100,100,1,0.009347389000140538,0.0
spectrum_mmd,Set3,"(-0.05, 0.85)",500,100,100,1,0.013120675000209303,0.0
spectrum_mmd,Set3,"(-0.05, 0.85)",1000,100,100,1,0.01775558600002114,0.0
spectrum_mmd,Set3,"(0.0, 1.1)",50,100,100,1,0.008941564000451763,0.0
spectrum_mmd,Set3,"(0.0, 1.1)",100,100,100,1,0.009322242000052938,0.0
spectrum_mmd,Set3,"(0.0, 1.1)",500,100,100,1,0.012866475000009814,0.0
spectrum_mmd,Set3,"(0.0, 1.1)",1000,100,100,1,0.017558193999320792,0.0
spectrum_mmd,Set3,"(0.05, 1.05)",50,100,100,1,0.00894300599975395,0.0
spectrum_mmd,Set3,"(0.05, 1.05)",100,100,100,1,0.009327251000286196,0.0
spectrum_mmd,Set3,"(0.05, 1.05)",500,100,100,1,0.012999186000342888,0.0
spectrum_mmd,Set3,"(0.05, 1.05)",1000,100,100,1,0.017834203999882448,0.0
SpectralReguMMD,Set1,"(0.05, 0.5)",50,100,100,1,2.418157498000255,0.0
SpectralReguMMD,Set1,"(0.05, 0.5)",100,100,100,1,2.433276272000512,0.0
SpectralReguMMD,Set1,"(0.05, 0.5)",500,100,100,1,2.521929866999926,0.0
SpectralReguMMD,Set1,"(0.05, 0.5)",1000,100,100,1,2.6474786539993147,0.0
SpectralReguMMD,Set1,"(0.1, 1.3)",50,100,100,1,2.422796855999877,0.0
SpectralReguMMD,Set1,"(0.1, 1.3)",100,100,100,1,2.438218250000318,0.0
SpectralReguMMD,Set1,"(0.1, 1.3)",500,100,100,1,2.522692334000567,0.0
SpectralReguMMD,Set1,"(0.1, 1.3)",1000,100,100,1,2.6422636590004913,0.0
SpectralReguMMD,Set1,"(-0.05, 0.6)",50,100,100,1,2.426009444000556,0.0
SpectralReguMMD,Set1,"(-0.05, 0.6)",100,100,100,1,2.429836382000758,0.0
SpectralReguMMD,Set1,"(-0.05, 0.6)",500,100,100,1,2.5210191870000926,0.0
SpectralReguMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,2.6625293670003884,0.0
SpectralReguMMD,Set2,3,50,100,100,1,2.421108400000776,0.0
SpectralReguMMD,Set2,3,100,100,100,1,2.431103601000359,0.0
SpectralReguMMD,Set2,3,500,100,100,1,2.5193980480007667,0.0
SpectralReguMMD,Set2,3,1000,100,100,1,2.648167891000412,0.0
SpectralReguMMD,Set2,5,50,100,100,1,2.4206411779996415,0.0
SpectralReguMMD,Set2,5,100,100,100,1,2.4300658920001297,0.0
SpectralReguMMD,Set2,5,500,100,100,1,2.521154629999728,0.0
SpectralReguMMD,Set2,5,1000,100,100,1,2.6454930550007703,0.0
SpectralReguMMD,Set2,10,50,100,100,1,2.4287954450001052,0.0
SpectralReguMMD,Set2,10,100,100,100,1,2.4362951690000045,0.0
SpectralReguMMD,Set2,10,500,100,100,1,2.525098086000071,0.0
SpectralReguMMD,Set2,10,1000,100,100,1,2.6579580130000977,0.0
SpectralReguMMD,Set3,"(-0.05, 0.85)",50,100,100,1,2.4317693540006076,0.0
SpectralReguMMD,Set3,"(-0.05, 0.85)",100,100,100,1,2.442607964000672,0.0
SpectralReguMMD,Set3,"(-0.05, 0.85)",500,100,100,1,2.535578150999754,0.0
SpectralReguMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,2.6634496389997366,0.0
SpectralReguMMD,Set3,"(0.0, 1.1)",50,100,100,1,2.442095265999342,0.0
SpectralReguMMD,Set3,"(0.0, 1.1)",100,100,100,1,2.4465215629998056,0.0
SpectralReguMMD,Set3,"(0.0, 1.1)",500,100,100,1,2.54594739499953,0.0
SpectralReguMMD,Set3,"(0.0, 1.1)",1000,100,100,1,2.6633105150003757,0.0
SpectralReguMMD,Set3,"(0.05, 1.05)",50,100,100,1,2.4351424430005864,0.0
SpectralReguMMD,Set3,"(0.05, 1.05)",100,100,100,1,2.4467513459994734,0.0
SpectralReguMMD,Set3,"(0.05, 1.05)",500,100,100,1,2.5390705149993664,0.0
SpectralReguMMD,Set3,"(0.05, 1.05)",1000,100,100,1,2.6588416860004145,0.0
LinearTimeMMD,Set1,"(0.05, 0.5)",50,100,100,1,0.0008342230003108853,0.0
LinearTimeMMD,Set1,"(0.05, 0.5)",100,100,100,1,0.0010039940007118275,0.0
LinearTimeMMD,Set1,"(0.05, 0.5)",500,100,100,1,0.003284323999650951,0.0
LinearTimeMMD,Set1,"(0.05, 0.5)",1000,100,100,1,0.006329607999759901,0.0
LinearTimeMMD,Set1,"(0.1, 1.3)",50,100,100,1,0.0006396870003300137,0.0
LinearTimeMMD,Set1,"(0.1, 1.3)",100,100,100,1,0.0009387700001752819,0.0
LinearTimeMMD,Set1,"(0.1, 1.3)",500,100,100,1,0.003396576000341156,0.0
LinearTimeMMD,Set1,"(0.1, 1.3)",1000,100,100,1,0.0063742410002305405,0.0
LinearTimeMMD,Set1,"(-0.05, 0.6)",50,100,100,1,0.0006851419993836316,0.0
LinearTimeMMD,Set1,"(-0.05, 0.6)",100,100,100,1,0.0008628770001450903,0.0
LinearTimeMMD,Set1,"(-0.05, 0.6)",500,100,100,1,0.0033893820000230335,0.0
LinearTimeMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,0.006371196000145574,0.0
LinearTimeMMD,Set2,3,50,100,100,1,0.0006182360002640053,0.0
LinearTimeMMD,Set2,3,100,100,100,1,0.0009804689998418326,0.0
LinearTimeMMD,Set2,3,500,100,100,1,0.00331270799961203,0.0
LinearTimeMMD,Set2,3,1000,100,100,1,0.006297124999946391,0.0
LinearTimeMMD,Set2,5,50,100,100,1,0.0006954720001886017,0.0
LinearTimeMMD,Set2,5,100,100,100,1,0.0009843669995461823,0.0
LinearTimeMMD,Set2,5,500,100,100,1,0.003381438000360504,0.0
LinearTimeMMD,Set2,5,1000,100,100,1,0.007073100000525301,0.0
LinearTimeMMD,Set2,10,50,100,100,1,0.0008507639995514182,0.0
LinearTimeMMD,Set2,10,100,100,100,1,0.0012267539996173582,0.0
LinearTimeMMD,Set2,10,500,100,100,1,0.004140329000620113,0.0
LinearTimeMMD,Set2,10,1000,100,100,1,0.006448029999774008,0.0
LinearTimeMMD,Set3,"(-0.05, 0.85)",50,100,100,1,0.0006363900001815637,0.0
LinearTimeMMD,Set3,"(-0.05, 0.85)",100,100,100,1,0.0009533180000289576,0.0
LinearTimeMMD,Set3,"(-0.05, 0.85)",500,100,100,1,0.0034329740001339815,0.0
LinearTimeMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,0.006756834000043455,0.0
LinearTimeMMD,Set3,"(0.0, 1.1)",50,100,100,1,0.0007553450004706974,0.0
LinearTimeMMD,Set3,"(0.0, 1.1)",100,100,100,1,0.0009963189995687571,0.0
LinearTimeMMD,Set3,"(0.0, 1.1)",500,100,100,1,0.0033686130000205594,0.0
LinearTimeMMD,Set3,"(0.0, 1.1)",1000,100,100,1,0.006674336999822117,0.0
LinearTimeMMD,Set3,"(0.05, 1.05)",50,100,100,1,0.0007358480006587342,0.0
LinearTimeMMD,Set3,"(0.05, 1.05)",100,100,100,1,0.0009884640003292589,0.0
LinearTimeMMD,Set3,"(0.05, 1.05)",500,100,100,1,0.003500271000120847,0.0
LinearTimeMMD,Set3,"(0.05, 1.05)",1000,100,100,1,0.006738900000527792,0.0
